"text","label"
"tohda dard h",0
"fever with body pain no cold",1
"fevr 103  body",1
"fever 102 aur body mein dard",1
"moderate chest pain",1
"high fever without cold symptoms",1
"chati mein dard sans nahi aa rahi 100",2
"spo2 low brething isue",2
"tez bkuhhaar sardi nahi",1
"puls vry hgh unconsious",2
"sevr chst tightness",2
"chakkar aa rahe hain",1
"oxygn leevel critcl",2
"high ffever",1
"oxygen low unconscious",2
"chest crushing pain ho raih hai",2
"unresponsive oxygen",2
"hgh fever",1
"halki zukam hai 1",0
"mild headache",0
"normal cold cough",0
"oxygen level critical 72",2
"oxygen mask chahiye jaldi",2
"thoda sa sir dard 58",0
"saans nahi pa rahe hain",2
"mild shortnes rbeath",1
"bukhaar koi aur symptom nahi",1
"sa bukhar h stable h",0
"palptatons mildd",1
"sevr chest pain mov",2
"bukhaar bahut zyada hai 15",1
"fver without cold 41",1
"genrl wekness",0
"sev rbreathlesness",2
"low grade 60",0
"tez bukhaar sardi nahi",1
"patient baat nahi kar pa  raha oxygen low",2
"patient baat nahi kar pa raha oxxygen low",2
"saans nali band ho rahi haai",2
"saans nahi rahi hai 46",2
"halki zukaam hai 31",0
"mild fever no cold",0
"ahlka bkuhar h",0
"thakaan ho rahi hai",0
"chakkar aa rahe haain",1
"mild shortnes of breath",1
"mild shortnes of 51",1
"patient collapse ho gay a35",2
"persistent fever 3 days",1
"chest discomfrt",1
"sevr breathlesness",2
"mujhe bukhaaar h nhi h",1
"mild sa bukhar h stable h",0
"fevr 103 ach",1
"chst pin brething problm 90",2
"heart attack symptoms severe chest pain",2
"bhookh kam lag rahi hai",0
"saans ki nali band ho hai",2
"fever 102 body pain",1
"hedaache 148",0
"bukhr high",1
"patient baat nahi pa rahha oxygen low",2
"sirf halka bukhaar hai cold nahi",0
"behosh ho gaya pulse highh 3",2
"chakkar rahe hain",1
"high fvr bina  khansi ke 74",1
"saans lene meni thodi taklif",1
"normall colld cough",0
"bukhaar bahut zyadah ai",1
"high body pain",1
"bukhaar 102 khanssi nahi",1
"bkuhaar ke saath ulti",1
"heart attack symptoms severe chest pain",2
"behosh ho gya pulse  hgh 73",2
"moderate with",1
"halki kkhasi hai",0
"spo2 low brething issue",2
"thoda fever stable haii",0
"high fever without cold symptoms",1
"issue hai koi badi baat nahi",0
"oxgyn critcal",2
"bbhookh kam lag rahi hai",0
"genraaal weakness",0
"mild shortness of breath",1
"low no no cold",0
"chst crushng pain",2
"sevr chest cant mov",2
"high fever with body aache",1
"no major problem hai",0
"norrrmol cold cough",0
"chest crushing pain ho rahi hai",2
"geenral weakness",0
"low fever cough no",0
"no major issue",0
"palptatons mild",1
"light breathing problem",1
"modrte chest  pain",1
"tez bukhaar aur badan dard",1
"slight fatiigue 109",0
"normol cold cough",0
"bukhaar bahut zyada hai",1
"sirf bukhaar haai cold bilkul nahi",1
"fevver hai stable hai",0
"peersistent fever 3",1
"chest pin brething problem",2
"chhooti si chot lagi 63",0
"no major problem hhai",0
"patient respond nahi kar raha oxygen low 128",2
"chest pain hai nahi aa rahi",2
"saans bilkul nahi aa rahi emergency",2
"bukhar te zh nhi",1
"sans thod imushkil hai 74",1
"low brrething issue",2
"small cut minor injuyr 6",0
"chest pin brething problem",2
"chest tightness mild",1
"severe braethlessness cannot sspeak",2
"10002 fever no cold",1
"persiistent fever 3 days",1
"hig hfeveer no cough",1
"chakkar aa",1
"high ffever no cough 46",1
"no major problem hai",0
"fever 102 body pain",1
"102  body pain",1
"behosh hai npulse nahi aa raha",2
"patient collapsed 22 21",2
"ke saath ulti 117",1
"chest discomfort milld",1
"severe breathlessness cannot speak 110",2
"genrl wekness9 7",0
"sevr chst tghtnes cant breathe 75 127",2
"breathing difficult ho rahi hai",1
"behosh ho gaye hain",2
"3 din se bukhaar nahhi ja raha",1
"mild hedaache",0
"moderate fever with chills",1
"generel weakness",0
"fever with vomiting",1
"low grade fever",0
"slight couggh no fever",0
"distress severe",2
"fever no cold",1
"modret chest pain",1
"palptatons mild",1
"chhati mein crushing dard",2
"genral weakness 20 15",0
"minor stomach upset",0
"thakaan ho rahi haai",0
"generral weakness 116",0
"mild hedche 16 119",0
"halka bukhar h",0
"thodi kkhans ihai",0
"kamzori lag rahi hai",0
"chest mmein mild pain hai 86",1
"oxygn low patint unconscous",2
"emergency unconscious patient 92",2
"shortnes ofb reath",1
"thoda sa sir dard 14",0
"seene mein thodi jalan 134",1
"sevr chst tghtnes cant breathe",2
"chest crushing pain radiating arm",2
"mild chest tightness feeel ho rahi",1
"complaints 0",0
"behosh ho gaye hain",2
"mask chahiye patient unconscious 58",2
"no complaaints",0
"sop2 80 se neecche gaya emergency",2
"pulse bahut fas thai behosh hain 11",2
"seene mein discomfort",1
"light problem",1
"kamzori lag rahi hai",0
"thodi khansi hai 54",0
"light cold",0
"sir mein halka dard",0
"nromal cold",0
"palpitations 137",1
"kamzori lag rahi 145",0
"slight fevr stable",0
"sirf halka bukhaaar hai cold nahi",0
"slight fevr stable 117",0
"feevr 102 no cough just  body pain",1
"modrte chest pain",1
"ubkhhaar high fever",1
"saans nahi le pa rahe hain",2
"tez bukhaar bina sardi ke 131",1
"critical breathing afliure",2
"fever 102 aur body mein dard",1
"low grade fever",0
"normal zukam 4",0
"mein bahut tez dard saans nahi",2
"breatihng thodi difficult ho raih hai",1
"oxygen low ptient unconscious",2
"routine problem hai",0
"oxygen low patient unconscious 61",2
"patient respond naahi kar raha oxygen low 95",2
"low patint unconscous 52",2
"bukhr hgh fever",1
"halka bukhar h",0
"oxygen  dropping rapidly",2
"tez bukhaar aur bada ndard 85",1
"sevr chest ppain cant mov",2
"mild chhest pain",1
"oxygenn level critical",2
"orutine checkupp",0
"bohot tez  dard saans ruktee ja rahi",2
"thodi si fatigue",0
"no complaints",0
"chest crushing pain radiating arm",2
"seenne mein halka dard 98",1
"no majorr issuue",0
"high fvr bina khansi ke",1
"chhati dab rahi hai saans",2
"seene mein itna dard ki hilnna muushkil",2
"dizziness and",1
"sans lene mein thodi pproblem 110",1
"oxgynn critcal 114",2
"fvr 102 body pin",1
"dizziness and weakness ho rahi hai 95",1
"hosh nahii aa raha pulse zyada 146",2
"fver without cold",1
"oxygen low hai  patient uncosncious",2
"breathing slightly difficult",1
"cant breth at all 149",2
"pesristnt headache fever 104",1
"102 no cold",1
"genral weakness",0
"mild nausea",0
"routine problem hia",0
"sevr chs ttghtnes cant breathe 8",2
"light cold",0
"respratry distrss sevr",2
"slght fever stable",0
"3 din se bukhaar nahi ja raha",1
"hgh fever no cld",1
"heart attack symptoms severe chest pain",2
"bdaan mein bahut dard hai bukhaar ke saath",1
"bohot tez dard saans ruktee ja rahi",2
"saans bilkul nahi aa rahi meergency hai",2
"high fever no cold",1
"chest mein bahut tez dard saans rahi",2
"sevr breathlesnes s73",2
"chest crushing pain radiatinng arm",2
"patient not breathing properly",2
"patietn baat nahi kar pa raha oxygen low",2
"fevr 103 body ahc",1
"low fever sstabble",0
"kamzori lag rahi hai",0
"modrte pain 122",1
"bukhaar high fever 111",1
"sligt fever",0
"fvr high noc cld",1
"tez bukhaar aur badan  dard 69",1
"minor issu ehai koi badi baat nahi",0
"oxygen dropping rapidly",2
"thoodi kamzori",0
"chhati mein halka dard",1
"slight cough no fever",0
"chest mein bahut te zdard saans ruk rahi",2
"bahut zyada bukhaar hai 66",1
"sevr chest pain cantm ov",2
"fvr high no cld",1
"halka bukhaar hai",0
"sevr chst tghtnes cant breathe 4",2
"mild headche",0
"hlaki saans taklif",1
"chhati mein halka",1
"bhookh kam lag rahi hai",0
"sirf halka bukhaar hai cold nahi",0
"high fever with body ahce",1
"chti drd sns nnhi rhi",2
"behosh ho gy pulse high 41",2
"lsight  fatigue",0
"majr issue 109",0
"respiratory distress ssevvere",2
"moderate fever with chlils",1
"breathing slightly difficuult",1
"bukharan ahi bas kamzori",0
"sa headache ho raha hai 125",0
"halki saans ki taklif",1
"sans mushkil hai",1
"seene mein hlaka dard",1
"teez buukhaar sardi nahi",1
"tcold",0
"low fever no cough no cold",0
"halka bukhaar hai",0
"chest mein mild painn hai 109",1
"chhati mein bahut tez dard saans nahi",2
"bukhaar nahi kamzorii",0
"genrl 102",0
"weakness 66",0
"sir mein halkka dardd",0
"spo2 low bbrething siue",2
"unresponsive low oxxygen",2
"oxygen llow patient uunconscious",2
"chest pain itna severe hai emergency call karo",2
"pulse very high aur behosh hain 122",2
"chhati mein halka",1
"tez bukhaar aur badan",1
"oxygn  low pattint unconscous",2
"high fever without cold symptoms",1
"slight cough no fever",0
"thoda sra h",0
"oxygen dropipng rapidly",2
"behosh ho gya pulse hgh",2
"sirf zukam hai bukhaar nahi",0
"spo2 low brething isue",2
"sevr cchestp ain cant mov",2
"severe chesst pain cannot move",2
"halka sa body ache",0
"sligt  fever",0
"no mmajor problem hai",0
"sans lene mein thodi problem4 3",1
"no complaints",0
"normla zkuam",0
"mild sa headache ho raha hai",0
"thoda bukhaar hai khansi nahi",0
"palpitations mild 75 11",1
"chakkra aur kamzori",1
"difficult",1
"oxygen mask chahiye patient",2
"sans lene mein thodi problem",1
"thoda weaknses hai",0
"buukhr high fever",1
"low fever stable",0
"fever no cough",1
"sver chst tightness",2
"chest diiscomfrt 1",1
"mild  fever no clod",0
"bukhaar high fever 142",1
"patient collapsed pulsew eak 65",2
"halki ki",1
"patient collapsed pulse weak",2
"rroutine problem hai 125",0
"chakkar kamzori",1
"general weakness feel ho rahi hai",0
"spo2 loow brething issue 124",2
"slight fatigue 21",0
"minor issue hai koi badi baat naih",0
"bukhaarr 103 koi aur symptom nahi",1
"oxygen low hai patient unconscious",2
"fever stable",0
"fever with vomiting",1
"oxygen low hai patient unconscious",2
"chaati me dard saan snahi aa rahi",2
"sligt fever",0
"mild soore htroat",0
"minor allergy",0
"101 headache 139",1
"xoygn critcl",2
"fever since 2 dayys",1
"no complaaintss",0
"mmiled headache 2",0
"oxygen levle critical",2
"pet mein thoda",0
"sevr chst",2
"coontinuous fever since 2 days",1
"hosh mein nahi hai",2
"low fever stable",0
"fever without ocld 2 se",1
"bukhaar bahut zyada hai",1
"oxygen dropping rapidly",2
"cold",0
"pet mein thoda dard",0
"sirf zukam hai bukhaar nahi",0
"persistent headache wtih",1
"hosh nahi aa raha pulse zyada 133 95",2
"sansss thodi mushkil hai",1
"chhati mein crushing",2
"emergency hai patient collapseh oo gaya",2
"no major issue 134",0
"fever headache",1
"pet thoda kharab ahi 5",0
"mil dsore",0
"chest pain itna severe hai emergency call karo 88",2
"slight hai",0
"sevr chst tghtnes cant breathe",2
"halki saans ki taklif",1
"slightf vr 1",0
"bukhr hgh fever",1
"severe chset tightness cannot braethe",2
"breathing thodi difficult ho rahi hai",1
"mild hedaache",0
"chhoti si chot lagi 70 64",0
"oxyeg nlevel critical",2
"hgh no cld",1
"palpitations mild 12",1
"normall cold cough",0
"spo2b elow 90 emergency",2
"general weakness",0
"low grade fever",0
"bukhaar bahut zyada hai",1
"kamzori lag rahi hai",0
"midl heaadche",0
"fvr 101 haedach",1
"sirf bukhaar hai cold bilkul nahi",1
"critical breathing failure",2
"sir mein dard",0
"no mjor isssuee",0
"chhati bahut dard saans nahi",2
"low grade fever",0
"bukhaar hai khansi nahi",1
"silgt fever",0
"midl headache 120",0
"bhookh kam lag rahi hai",0
"slight cough no fever",0
"rsepratry distrss sevr",2
"continuous fever since 2 days",1
"cotninuos fever",1
"sevr chest apin cant mov 106",2
"sirf bukhaar hai cold bilkul nahi",1
"high fever with ache",1
"chst pin brething problm",2
"bukhaar bahut zyada haai",1
"sans thodi mushkil hai",1
"pulse bahut fast hai behosh",2
"chest discommfrt",1
"oxygen bahut hai",2
"imld shortness breath",1
"normall cold cough",0
"chati mein dard sans nahi aa rahi",2
"spo2 80 neeche gaya emergency 22",2
"bahut zyada bukhaar hai",1
"oxygen unconscious",2
"chhati dab rahi saans nahi",2
"behosh ho gaya pulse high",2
"persistent headache with fever 67",1
"bukhaar 102 khansi nahi",1
"chakkar aur kamzori 11",1
"sevrc hst tightness",2
"bukhaar hia",0
"dizziness and weakness",1
"chhoti si chot lagi",0
"no amjr issue 26",0
"slight cough no fever 42",0
"bukhaar 103 koi aur symptom nahi 139",1
"sirf halka bukhaar hai cold nahi",0
"normall cold cough",0
"102  fever no cold 86",1
"miled heeadache",0
"dizziness and weakness ho rahi hai",1
"cant breth at all",2
"cchest discomfrt",1
"severe chest tightness cannot breathe 58 22",2
"runny onse",0
"sir mein halka dard",0
"bukhaar hai khansi nahi",1
"bkuhaaar bahut zyada hai",1
"emergecny unconscious patient 126",2
"noormall cough",0
"dizziness and weakness ho rahi hai",1
"thoda weakness",0
"chest mein bahut tez dard saans ruk rrahi 68",2
"chest pain itna severe hai emergency call karo",2
"puls vry hgh unconsious",2
"saans bilkul nahi aa rahi emergency hai",2
"sevr breathlesness",2
"severe breathlessness cannot speak 2 44",2
"emergency  hai patient collapse ho gaya",2
"mild hedache",0
"low fever stable",0
"slight cold 80",0
"hiigh fever no cold 116",1
"fever 102 aur mein dard",1
"fveer hai stable hai",0
"kamzori lag rahi hai 103",0
"genrl wekness",0
"dizziness feel ho raha hai",1
"chest mein mild pain hai",1
"general weeakness feel ho hai",0
"mild breathlessness on exertion",1
"bukhara 101 sir dard",1
"hlaki zukma hai",0
"oxygn low patint unconscous",2
"bahut zyadda bukhaar",1
"fvr high no cld",1
"slight fveer stable",0
"persistent fever 3 days",1
"seene mein discoomfortt",1
"spo2 drop raha hai breathingg issue",2
"patient colllapse ho gaya",2
"chest disocmfort mild",1
"continuous fever  since 2 days",1
"chati mein dard sans naahi aa rahi",2
"oxygen low paatient",2
"spo2 low breathing issue",2
"sans lnee mein dikka tho rahi hai",1
"patient respond nahi kar raha oxygen",2
"fever without cold 2 din se",1
"mujhe tez bukhaar hai ccold nahi hai 35",1
"badan garm hai khansi nahi",1
"sans lene thodi problem",1
"dizziness and weakness ho rahi hai",1
"halki zukam hai 25",0
"halki zukam hai",0
"spo2  olw brething isue",2
"sir mein halka dard 97",0
"critical breathing failure",2
"bahut zyada bbukhaar hai 74",1
"severe breathlessness patien tbaat kar pa raha",2
"thodi khansi hai",0
"oxygen girr raha hai patient unconscious hai",2
"saans anhi le pa rahe hain 135",2
"bukhaar fever",1
"cant breth at all",2
"mild shoortness off breath",1
"chst tightnss mild",1
"moderate fever with",1
"sligt fffever",0
"chhati mein halka dard",1
"no amjor issue",0
"sanns thodi mushkil hai",1
"critical breathing failure 79",2
"chest pain breathing  problem 104",2
"thoda bukhaar hai khansi nahi 135 129",0
"hosh nahi aa raha pulse zyada",2
"light brething problem",1
"sirf zukam hai bukhaar nahi",0
"chati mein dard sans nahi aa rrahi 42",2
"oxygn level critcl 9 106",2
"chst pani",2
"spo2 below 90 emergency 102 7",2
"breathin gproblm mild",1
"ebhosh pade hain pulse nahi aa raha",2
"needn nahi aa rahi 25",0
"dizziness and weakness ho  rahi hai",1
"critical conditio nhai oxygen low 112",2
"haalki saans ki taklif",1
"badan mein bahut dard hai bukhaar  ke saath",1
"patient not breathing",2
"thodi khansi hai",0
"sans mein dikkat ho rahi hai",1
"severe cchest pain hai saans nahi aa rahi",2
"chaati me dards aans nahi aa rahi",2
"dizziness and waekness",1
"patient unconscious  not responding",2
"mild chst",1
"me dard saans nahi aa rahi",2
"minor issue hai koi badi nahi",0
"thoda bukhaar hai khansi nahi 41",0
"saans bilkul nahi aa rahi emergency hai",2
"upset",0
"oxygen critical level pe hai",2
"behosh ho gy pulse high 22",2
"behosh ho yga pulse hgh 14",2
"cannot rbeathe at all 84",2
"persistent headache with fever",1
"pet mein thoda dard",0
"fever 102 no cold weaknesss",1
"saans ki nail band hor ahi hai",2
"chest discomfort ho raha hai 95",1
"chhati dab rahi hai saans nahi",2
"saans bilkul nahi aa rahi emergency hai",2
"hgh fever no cld",1
"oxygen level gir rah ahai 67",2
"high temperature body pain",1
"oxygen level critical",2
"moderate chest pain",1
"mild hedaache",0
"mild hedaache",0
"fever without 3 days",1
"normall cough",0
"breathing slightly difficult",1
"fever 101 nno runny nose",1
"not breathing properly 42",2
"chest mein bbahut tez dard saans ruk",2
"bukhr high fever",1
"severe chest pain cannot move",2
"minor allergy",0
"feevr wtih vomiting",1
"seene mein itna dard ki hilna mushkil",2
"chest pain breathing problem",2
"mild sa bukhar h stable h 138",0
"bukhar sardi nhi",1
"highh temperature body pain",1
"bukhaar hai kkhansi nahi",0
"chakkar aur kamzori",1
"oxgyn rcitcla",2
"fevr 103 body ach",1
"hallka bkuhar h",0
"generl wekkness",0
"oxygen level pe hai",2
"thakaan ho rahi hai",0
"sevr chest pain cant mov 94",2
"mild fever wtihout cold",0
"bukhaar nah ibas kamzori",0
"saans nahi aa rahi hai",2
"si chot",0
"fever high hai body pain bhi 82",1
"no major probblem hai",0
"thodi si fatigue 28",0
"breathing slightly difficult 87",1
"saans lene mein thodi taklif",1
"saans bilkul nahi aa rahi emergency hai",2
"slight cough no fever",0
"minor body ache",0
"severe chest cannot breathe emergency 105",2
"spo2 below 90 emergency",2
"sevr tghtnes cant breathe 115",2
"spo2 low brething isue",2
"sirf bukhaar hai cold bilukl nahi",1
"mild shortness of breath",1
"bhookh kam lag rahi hai",0
"oxygen mask chahiye jaldi",2
"chest pin brething",2
"saans rukne wali hai 120",2
"mild headache",0
"mujhe bukhaarh  khansi nhi h",1
"behosh ho gy pulseh igh 82",2
"oxgyn low unconscous",2
"mlid hedche",0
"mmild",0
"severe chest tightness cannot emergency",2
"miild hedache",0
"behosh ho gaye",2
"nahi aa rahi hai",2
"mild sa bukhar h h",0
"chest pin brething problem 95",2
"bohot tez saans ruktee ja rahi",2
"patient not breathing properly 127",2
"bukhaar hghh efver",1
"pet thodaa kharba hai",0
"oxygen gir raha hai patient unconscious hai",2
"hosh nahi raha pulse zyada 88",2
"wekness",0
"generll wekness",0
"chst tigthnsss mild",1
"chest pin brething problem",2
"fever 101 no runnny nose 116",1
"fver without",1
"mild breathlessness on exertion",1
"heart symptoms severe chest pain 97",2
"miled 17",0
"fever 110 headache",1
"3 din se ubkhaar nahi ja raha",1
"spo2 drop ho raha hai breathing issue 84",2
"patient collapse hoo gaya",2
"bukhaarr hai pr khansi",1
"mild shrotnes of breath 108",1
"mild chst pain",1
"garm hai khansi nahi",1
"small cut minor injury 49",0
"fever without cold 3 days",1
"cold cough",0
"chest crushing pain radiating arm",2
"spo2 drpping emergeny 79",2
"mild sore throat",0
"severe chets tightness cannot",2
"patient hosh mein nahi hai",2
"imld headache",0
"severe breathlessness patient baat nahi kar pa",2
"saans lena impossible ho raha hai",2
"continuos fever",1
"spo2 80 sse neeche gaya",2
"thodi kamzoori",0
"critical condition hai oxygen low",2
"mild fever without cold 48",0
"cold cough",0
"behosh pade hain pulse nahi aa raha",2
"mild breathhlessness",1
"thod afever hai stable hai",0
"haalki fever sardi nahi",0
"chaati me dard saans nahi aa rahi",2
"critical breathing failure",2
"patient baat nahi kar pa raha oxygen low",2
"generel weakness",0
"tez bukahar aur badan",1
"lene mein thodi problem",1
"isr mein hallka dard",0
"mild headdache 75",0
"chhati meiin bahut tez dard saans nahi",2
"saaans nahi le pa rahe hain",2
"halki fever hai sardi nahi",0
"mildd sa headache ho raha hai",0
"slight fevr stablee",0
"oxygen low hai patient unconscious",2
"chest mein mild pain hai",1
"high fever coldd",1
"spo2 low brehting sisue",2
"nd weknesss",1
"thoda fever hhai stable hai 2",0
"high temperature body pain",1
"thakaan ho rahi hai",0
"saans nahi le pa arhe hain 77",2
"halki khasi",0
"behosh ho gy pulse high",2
"mild nausea",0
"bukhr high fever",1
"ewakness feel ho rahi hai",0
"level critcl 46",2
"oxygen level critical",2
"mild on exerrtion",1
"oxygen level gir raha hai",2
"dizziness and weakness",1
"seeene mein itna dard ki hilna mushkil",2
"genral weakkness 33",0
"mil dfever wiithout cold",0
"tez bukhaar aur badan dard",1
"dizzienss and",1
"slight runny nose",0
"mask chahiye jaldi",2
"chst tightnss mild",1
"thoda weakness hai",0
"halka bukhar h",0
"spo2 below 90 emergency 113",2
"minor body ache 111",0
"routine problem hai",0
"severe chest tightness cannot breathe emergency",2
"slight fatigue",0
"chest tightenss mild",1
"high fvr bina khansi ke",1
"slitg fever",0
"behosh pade haiin saans mushki lse aa rahi",2
"saans rukne hai",2
"allregy",0
"chst crushng pain",2
"sans thdoi mushkil hai 106",1
"oxygen mask chahiye jaldi",2
"persistnt headache fever",1
"bukhr hiigh fever",1
"102 khansi nahi",1
"minor stomach upset",0
"chhati dab rahi hai saans nahi",2
"patient unconscious not responding",2
"bukhaar body pain no cough no cold",1
"fever high hai body pain bhi",1
"seeene mein halka dard",1
"no complaints",0
"bohot tez dard saans ruktee ja rahi 112",2
"spo2 low brething issue",2
"slight fever",0
"fever 102 body pain",1
"fever with body pain no cold",1
"chest pinb rething problem 98",2
"patient baaat nahi kar pa raha oxygen low 86",2
"issue",0
"severe chest tightness cannot breathe",2
"chset discomfort ho raha hai 114",1
"ubkhaar high fever",1
"behosh gya pulse hgh",2
"oxygen low patient unconscious",2
"bukhaar 3 din se hhai",1
"oxygen critical level pe",2
"pet thoda kharab hai",0
"chhati mei ncrsuhing dard",2
"patient baat nahi kar pa raha oxygen low",2
"saans nali abnd ho rahi hai",2
"chhati mien crushing dard",2
"dab rahi hai saans nahi",2
"saans bilkul nahi aa rahi emergency  hai 16",2
"sevr chestp ain cant mov",2
"critical breathing failuure",2
"saans nahi le pa rahe hain 97",2
"bukhr hgh fever",1
"oxygen critical pe hai",2
"chest diiscomfort mild 141",1
"slightf vr",0
"small cut minor injury",0
"sans thodi mushkil hai",1
"halka sa body ache",0
"bukhaar bbas kamzori",0
"persistent efver 3 days 128",1
"persistnt headache feevr",1
"halki zukam hai 75",0
"cough",0
"thodi kamzori",0
"sevr chest pai ncant mov 127",2
"patient respond nhai kar raha oxygen olw",2
"mnior allergy",0
"modrtte  chest pain",1
"slght fever stable",0
"sirf halka bukhaar hai cold nahi",0
"while standing",1
"halka ahi",0
"sevr chest pain cant mov 15",2
"checkup",0
"severe breathlessness baat nahi kar pa raha",2
"spo2 low brething isue",2
"mildb reathlesness 128",1
"mild hedche 68",0
"mild",0
"mujhe tez bukhaar ahi cold nahi hai",1
"sa headache ho raha hai 49",0
"normal cold cough",0
"high fvr bina khhansi ke",1
"oxygen dropping rapidly 18",2
"spo2 drop ho raha hai breathing issue",2
"sligtt fever 108",0
"halki fever hai sardi nahi",0
"spo2 llow brething issue",2
"breaathing slightly difficult",1
"chest mein bahut tezd ard saans ruk rahi 22",2
"mild hedache",0
"mild sa bukhar h stable h 56 14",0
"behosh ho gy pulse high",2
"minor  allergy",0
"patient hosh mein nahi hai 86",2
"ffever 102 body pani",1
"miiled headache",0
"cant breth at all",2
"thoda fever hai stable hai",0
"sans thodi  mushkil hai",1
"severe breathllessness cannot speak 52",2
"hedche",0
"chest crushing pain ho hai 36",2
"resprtary distrss sevr 113",2
"chst tghtnes cant braethe",2
"badan garm hai khansi nhai",1
"low fever stable 5",0
"halka bukhar h",0
"chst pin brething porblm",2
"heart attack symptoms severe chest pain",2
"normol cold cough",0
"mild headche",0
"respratry distrss sevr",2
"spo2 drop ho raha hai breathing issue",2
"pet thoda kharab hai",0
"chhoti si chot lagi",0
"thoda weakness hai",0
"mild headahce",0
"mild headache",0
"mild hcst apin",1
"thodi khansi hai",0
"behosh ho gaye hain 69",2
"thoda weakness hai",0
"fatigue",0
"sliigt fever",0
"no major hai",0
"puls hgh unconsious",2
"seene mein itna dard ki hilna mushkil",2
"slight cold",0
"slight fevr stable",0
"fvrr no cld",1
"norml cold cough",0
"khansi hai 149",0
"ggenerl  wekness",0
"behosh ho gy pulse high",2
"patient not breathing 83",2
"slght stable",0
"chhooti si chot lagi",0
