text,label
"mild chest pin 131",1
"oxygen low patient unconscious 127",2
"mild hedche 140",0
"fever 102 body pin 81",1
"no mjor issue",0
"behosh ho gy pulse high",2
"oxygen low ptient unconscious 143",2
"mild headache 36",0
"slight fever stable",0
"generl wekness",0
"behosh ho gaya pulse high",2
"mild headache",0
"oxygen low patient unconscious",2
"general weakness",0
"bukhr high fever 57",1
"behosh ho gy pulse high",2
"mild chest pin",1
"mild hedche",0
"fever 102 body pin 81",1
"no major issue 79",0
"mild chest pin",1
"dizziness nd wekness",1
"mild hedche 84",0
"fever 102 body pin",1
"chest pin brething problem",2
"chti me drd sns nhi  rhi",2
"generl wekness",0
"dizziness nd wekness 80",1
"generl wekness",0
"fever 102 body pain 64",1
"severe chest tightness cnnot brethe",2
"mild hedche",0
"norml cold cough 126",0
"chti me drd sns nhi  rhi 138",2
"fever 102 body pin",1
"light breathing problem 21",1
"mild chest pain 19",1
"slight fever stable",0
"generl wekness 54",0
"spo2 low breathing issue 85",2
"chaati me dard saans nahi aa rahi 123",2
"fever 102 body pain 61",1
"severe chest tightness cannot breathe",2
"behosh ho gy pulse high 130",2
"fever 102 body pain",1
"bukhaar high fever 82",1
"light breathing problem 24",1
"oxygen low patient unconscious 70",2
"light brething problem 82",1
"oxygen low patient unconscious 81",2
"dizziness nd wekness 80",1
"mild hedche 8",0
"general weakness 148",0
"light breathing problem",1
"fever 102 body pin 42",1
"fever 102 body pain 11",1
"severe chest tightness cannot breathe",2
"chest pain breathing problem 61",2
"norml cold cough",0
"behosh ho gaya pulse high",2
"mild headache",0
"chaati me dard saans nahi aa rahi",2
"chaati me dard saans nahi aa rahi",2
"bukhr high fever 80",1
"bukhr high fever",1
"general weakness 3",0
"severe chest tightness cannot breathe 23",2
"mild headache 145",0
"no mjor issue 54",0
"mild headache 116",0
"chest pain breathing problem",2
"spo2 low breathing issue",2
"dizziness nd wekness 146",1
"spo2 low brething issue 143",2
"behosh ho gaya pulse high",2
"dizziness nd wekness 35",1
"norml cold cough",0
"mild headache 89",0
"mild chest pain",1
"generl wekness 139",0
"normal cold cough",0
"no major issue 53",0
"mild hedche",0
"oxygen low patient unconscious 102",2
"bukhr high fever",1
"dizziness nd wekness",1
"slight fever stble 60",0
"mild chest pin 125",1
"spo2 low brething issue",2
"normal cold cough",0
"no major issue",0
"fever 102 body pain",1
"mild headache",0
"oxygen low ptient unconscious",2
"dizziness and weakness",1
"mild chest pin",1
"light breathing problem 30",1
"norml cold cough",0
"normal cold cough 116",0
"dizziness and weakness 115",1
"no mjor issue",0
"spo2 low brething issue 61",2
"light brething problem",1
"no mjor issue",0
"spo2 low breathing issue 117",2
"severe chest tightness cannot breathe",2
"bukhaar high fever 7",1
"behosh ho gaya pulse high",2
"no mjor issue",0
"bukhr high fever",1
"normal cold cough",0
"spo2 low brething issue 24",2
"severe chest tightness cannot breathe",2
"bukhaar high fever 121",1
"mild hedche",0
"fever 102 body pain 26",1
"dizziness and weakness",1
"generl wekness 43",0
"norml cold cough",0
"mild chest pain 3",1
"no mjor issue 73",0
"slight fever stable 52",0
"general weakness",0
"chest pain breathing problem",2
"no major issue",0
"no major issue",0
"severe chest tightness cannot breathe 91",2
"no major issue",0
"chest pain breathing problem",2
"chaati me dard saans nahi aa rahi",2
"no mjor issue 25",0
"dizziness and weakness",1
"spo2 low brething issue",2
"severe chest tightness cnnot brethe 43",2
"bukhaar high fever 33",1
"chti me drd sns nhi  rhi 33",2
"chaati me dard saans nahi aa rahi 120",2
"mild headache 3",0
"light breathing problem 143",1
"bukhaar high fever 114",1
"bukhr high fever",1
"severe chest tightness cannot breathe 118",2
"general weakness",0
"mild hedche 104",0
"oxygen low ptient unconscious",2
"spo2 low breathing issue 117",2
"light breathing problem",1
"spo2 low breathing issue",2
"behosh ho gaya pulse high 52",2
"behosh ho gaya pulse high 20",2
"generl wekness 31",0
"slight fever stble 131",0
"generl wekness 59",0
"fever 102 body pain 88",1
"mild headache 132",0
"bukhaar high fever",1
"light breathing problem 64",1
"light breathing problem 52",1
"spo2 low breathing issue",2
"normal cold cough 39",0
"chest pain breathing problem 129",2
"slight fever stable",0
"chti me drd sns nhi  rhi 115",2
"spo2 low brething issue 27",2
"bukhaar high fever 62",1
"chest pain breathing problem",2
"mild chest pin 137",1
"chest pain breathing problem 145",2
"bukhaar high fever",1
"mild hedche",0
"no major issue",0
"slight fever stble",0
"chti me drd sns nhi  rhi",2
"light brething problem",1
"oxygen low patient unconscious 82",2
"dizziness nd wekness",1
"mild chest pin",1
"mild hedche",0
"dizziness nd wekness 92",1
"spo2 low breathing issue 71",2
"dizziness and weakness 21",1
"fever 102 body pain",1
"mild chest pain",1
"mild headache",0
"normal cold cough 110",0
"fever 102 body pain",1
"general weakness",0
"fever 102 body pain 144",1
"dizziness and weakness",1
"no major issue",0
"light breathing problem 69",1
"bukhaar high fever",1
"slight fever stble 27",0
"spo2 low breathing issue",2
"mild hedche",0
"bukhr high fever",1
"fever 102 body pain 147",1
"bukhr high fever",1
"slight fever stble",0
"no mjor issue 28",0
"behosh ho gaya pulse high 7",2
"fever 102 body pain 68",1
"oxygen low patient unconscious",2
"slight fever stble",0
"general weakness 144",0
"general weakness",0
"behosh ho gy pulse high",2
"chest pain breathing problem",2
"no mjor issue 6",0
"fever 102 body pain",1
"severe chest tightness cannot breathe",2
"chti me drd sns nhi  rhi 103",2
"light breathing problem 83",1
"mild headache",0
"bukhr high fever 128",1
"fever 102 body pin",1
"no major issue 109",0
"chaati me dard saans nahi aa rahi 128",2
"light brething problem 93",1
"no major issue",0
"light brething problem",1
"slight fever stable 143",0
"mild chest pin",1
"severe chest tightness cannot breathe 122",2
"no major issue",0
"general weakness",0
"mild chest pin 97",1
"dizziness and weakness",1
"no major issue",0
"chest pain breathing problem",2
"normal cold cough 85",0
"light breathing problem 33",1
"general weakness 128",0
"slight fever stable 68",0
"severe chest tightness cannot breathe 142",2
"fever 102 body pain",1
"chaati me dard saans nahi aa rahi 118",2
"mild hedche",0
"severe chest tightness cannot breathe",2
"dizziness nd wekness 53",1
"oxygen low patient unconscious",2
"light breathing problem 46",1
"no major issue 10",0
"mild headache",0
"fever 102 body pin 108",1
"severe chest tightness cannot breathe 11",2
"mild chest pin 93",1
"spo2 low brething issue 61",2
"fever 102 body pin 55",1
"bukhaar high fever 77",1
"dizziness nd wekness 110",1
"fever 102 body pin",1
"chti me drd sns nhi  rhi",2
"oxygen low patient unconscious",2
"bukhr high fever 130",1
"no major issue 68",0
"light brething problem 82",1
"general weakness 147",0
"chaati me dard saans nahi aa rahi",2
"spo2 low brething issue",2
"chest pin brething problem 3",2
"fever 102 body pain 39",1
"severe chest tightness cnnot brethe",2
"chest pin brething problem 143",2
"dizziness nd wekness",1
"mild hedche",0
"dizziness nd wekness 140",1
"no major issue",0
"mild chest pain 34",1
"dizziness nd wekness 43",1
"no mjor issue",0
"mild chest pain",1
"behosh ho gy pulse high 111",2
"general weakness 100",0
"light breathing problem 106",1
"spo2 low breathing issue 101",2
"chest pin brething problem 72",2
"spo2 low brething issue 104",2
"fever 102 body pain 79",1
"mild headache 122",0
"chti me drd sns nhi  rhi",2
"no mjor issue",0
"chest pin brething problem 101",2
"norml cold cough 121",0
"no major issue 80",0
"chti me drd sns nhi  rhi",2
"spo2 low brething issue",2
"dizziness nd wekness",1
"fever 102 body pin",1
"spo2 low brething issue 147",2
"mild chest pain 30",1
"norml cold cough",0
"behosh ho gaya pulse high",2
"mild chest pain 133",1
"chti me drd sns nhi  rhi 79",2
"dizziness and weakness",1
"mild headache 28",0
"behosh ho gaya pulse high 113",2
"no mjor issue",0
"fever 102 body pain",1
"light brething problem",1
"slight fever stble",0
"chti me drd sns nhi  rhi",2
"general weakness 15",0
"behosh ho gy pulse high",2
"light brething problem 41",1
"mild chest pain",1
"no mjor issue",0
"oxygen low patient unconscious",2
"severe chest tightness cnnot brethe 140",2
"behosh ho gaya pulse high 49",2
"chti me drd sns nhi  rhi 57",2
"mild chest pin 64",1
"no major issue",0
"mild headache 145",0
"general weakness",0
"mild chest pin 28",1
"fever 102 body pin",1
"behosh ho gy pulse high 92",2
"mild chest pin",1
"fever 102 body pin 1",1
"fever 102 body pain 105",1
"fever 102 body pain 19",1
"mild hedche 88",0
"generl wekness 48",0
"chaati me dard saans nahi aa rahi 46",2
"spo2 low brething issue 109",2
"normal cold cough 68",0
"behosh ho gaya pulse high 39",2
"normal cold cough 43",0
"slight fever stable",0
"slight fever stble 0",0
"light breathing problem",1
"normal cold cough 109",0
"oxygen low patient unconscious",2
"no major issue 23",0
"chest pain breathing problem 33",2
"normal cold cough",0
"chest pin brething problem 126",2
"generl wekness",0
"oxygen low ptient unconscious",2
"oxygen low ptient unconscious",2
"bukhaar high fever",1
"chest pain breathing problem",2
"mild headache",0
"behosh ho gaya pulse high",2
"severe chest tightness cnnot brethe 14",2
"mild chest pain 45",1
"fever 102 body pin",1
"dizziness nd wekness 85",1
"slight fever stable 7",0
"chest pin brething problem",2
"normal cold cough",0
"dizziness nd wekness 70",1
"no major issue",0
"bukhaar high fever",1
"slight fever stable",0
"mild chest pain",1
"normal cold cough",0
"dizziness nd wekness 83",1
"chti me drd sns nhi  rhi 107",2
"generl wekness",0
"behosh ho gy pulse high 13",2
"fever 102 body pain 125",1
"behosh ho gy pulse high",2
"mild chest pain 31",1
"generl wekness 3",0
"light brething problem 116",1
"oxygen low patient unconscious 26",2
"dizziness nd wekness 145",1
"chest pain breathing problem",2
"dizziness and weakness",1
"behosh ho gaya pulse high",2
"bukhr high fever 26",1
"fever 102 body pain 52",1
"mild chest pin 95",1
"dizziness nd wekness 121",1
"bukhr high fever 49",1
"dizziness nd wekness 62",1
"generl wekness 79",0
"dizziness nd wekness 121",1
"chest pin brething problem 39",2
"fever 102 body pain 49",1
"slight fever stable 58",0
"dizziness and weakness",1
"normal cold cough",0
"light brething problem 43",1
"light brething problem 28",1
"spo2 low brething issue",2
"no mjor issue",0
"dizziness nd wekness 31",1
"no mjor issue 60",0
"light breathing problem 11",1
"mild headache 1",0
"fever 102 body pain 70",1
"no major issue",0
"fever 102 body pain 78",1
"chaati me dard saans nahi aa rahi 129",2
"mild hedche",0
"behosh ho gaya pulse high",2
"slight fever stble",0
"chest pin brething problem",2
"fever 102 body pin 44",1
"normal cold cough",0
"behosh ho gaya pulse high 126",2
"light brething problem 12",1
"spo2 low breathing issue",2
"spo2 low breathing issue",2
"no major issue 10",0
"slight fever stable",0
"behosh ho gy pulse high 115",2
"chest pin brething problem 106",2
"mild hedche",0
"spo2 low breathing issue",2
"general weakness 64",0
"generl wekness 37",0
"dizziness nd wekness",1
"behosh ho gy pulse high 123",2
"slight fever stble",0
"severe chest tightness cnnot brethe 6",2
"fever 102 body pin 137",1
"fever 102 body pain 83",1
"severe chest tightness cnnot brethe 29",2
"no mjor issue",0
"dizziness and weakness",1
"mild chest pin 2",1
"light brething problem 108",1
"bukhaar high fever",1
"mild chest pin",1
"bukhaar high fever 37",1
"spo2 low brething issue",2
"chest pain breathing problem",2
"severe chest tightness cnnot brethe 85",2
"dizziness nd wekness 35",1
"norml cold cough",0
"behosh ho gaya pulse high",2
"behosh ho gy pulse high 96",2
"norml cold cough",0
"mild headache 27",0
"chest pain breathing problem 99",2
"bukhaar high fever 66",1
"mild headache",0
"slight fever stable 149",0
"mild headache 98",0
"severe chest tightness cannot breathe",2
"mild chest pin 100",1
"behosh ho gy pulse high",2
"light brething problem",1
"light breathing problem",1
"oxygen low ptient unconscious",2
"general weakness",0
"light brething problem 82",1
"mild hedche",0
"light breathing problem 24",1
"chaati me dard saans nahi aa rahi",2
"mild headache 19",0
"no major issue",0
"spo2 low breathing issue 72",2
"light breathing problem 47",1
"chest pain breathing problem 20",2
"norml cold cough",0
"norml cold cough",0
"slight fever stable 17",0
"fever 102 body pain 33",1
"bukhaar high fever 105",1
"slight fever stble 42",0
"bukhr high fever",1
"fever 102 body pain 47",1
"bukhr high fever 140",1
"light brething problem 76",1
"mild headache",0
"spo2 low brething issue",2
"severe chest tightness cannot breathe",2
"spo2 low breathing issue",2
"generl wekness",0
"bukhaar high fever",1
"dizziness nd wekness",1
"no major issue 114",0
"severe chest tightness cannot breathe",2
"slight fever stable",0
"fever 102 body pain",1
"bukhaar high fever 115",1
"generl wekness",0
"norml cold cough",0
"spo2 low breathing issue 46",2
"mild headache",0
"slight fever stable",0
"bukhr high fever",1
"general weakness",0
"no mjor issue",0
"severe chest tightness cannot breathe 79",2
"light breathing problem",1
"mild hedche",0
"fever 102 body pain",1
"spo2 low breathing issue 122",2
"slight fever stble 38",0
"general weakness",0
"slight fever stble",0
"chaati me dard saans nahi aa rahi",2
"bukhr high fever",1
"mild chest pin",1
"behosh ho gaya pulse high 71",2
"slight fever stble 44",0
"bukhr high fever 81",1
"behosh ho gaya pulse high 99",2
"general weakness 9",0
"chest pin brething problem",2
"severe chest tightness cannot breathe",2
"light breathing problem",1
"chest pain breathing problem",2
"general weakness 20",0
"no mjor issue 64",0
"bukhr high fever 82",1
"bukhaar high fever",1
"spo2 low breathing issue",2
"no major issue",0
"chest pain breathing problem 144",2
"bukhr high fever",1
"spo2 low breathing issue 16",2
"chti me drd sns nhi  rhi 83",2
"generl wekness 12",0
"mild chest pain 52",1
"chest pin brething problem 99",2
"oxygen low patient unconscious 54",2
"slight fever stble 53",0
"slight fever stble",0
"fever 102 body pin",1
"fever 102 body pain 57",1
"severe chest tightness cannot breathe",2
"chest pin brething problem 110",2
"spo2 low brething issue 8",2
"bukhr high fever",1
"bukhr high fever 101",1
"mild hedche 83",0
"no mjor issue",0
"severe chest tightness cnnot brethe",2
"spo2 low brething issue 91",2
"general weakness 123",0
"norml cold cough 19",0
"slight fever stable",0
"fever 102 body pin 123",1
"light brething problem 59",1
"behosh ho gy pulse high 60",2
"mild chest pin 83",1
"mild hedche",0
"slight fever stable 64",0
"behosh ho gy pulse high",2
"no mjor issue 19",0
"normal cold cough",0
"slight fever stble 53",0
"dizziness nd wekness 38",1
"light brething problem",1
"bukhr high fever",1
"fever 102 body pin 46",1
"bukhaar high fever 86",1
"fever 102 body pin 30",1
"mild chest pin",1
"bukhaar high fever",1
"mild hedche 72",0
"bukhaar high fever",1
"oxygen low ptient unconscious",2
"oxygen low ptient unconscious",2
"mild chest pin 76",1
"fever 102 body pin 74",1
"chest pain breathing problem",2
"light breathing problem 111",1
"no mjor issue 43",0
"norml cold cough",0
"light breathing problem 23",1
"dizziness and weakness",1
"severe chest tightness cnnot brethe 34",2
"oxygen low patient unconscious 9",2
"light breathing problem 116",1
"fever 102 body pin 115",1
"bukhaar high fever 139",1
"mild hedche",0
"bukhr high fever",1
"behosh ho gaya pulse high 74",2
"chest pain breathing problem 35",2
"oxygen low ptient unconscious",2
"fever 102 body pain 22",1
"general weakness 126",0
"no mjor issue 114",0
"general weakness",0
"oxygen low patient unconscious",2
"normal cold cough",0
"chest pain breathing problem",2
"spo2 low brething issue",2
"no major issue 91",0
"chaati me dard saans nahi aa rahi",2
"bukhr high fever",1
"bukhaar high fever 1",1
"chest pin brething problem 21",2
"generl wekness 126",0
"oxygen low ptient unconscious 17",2
"chti me drd sns nhi  rhi 83",2
"generl wekness 0",0
"no major issue 141",0
"slight fever stble 100",0
"mild headache",0
"chaati me dard saans nahi aa rahi",2
"light breathing problem",1
"dizziness and weakness 85",1
"behosh ho gy pulse high",2
"dizziness nd wekness",1
"generl wekness",0
"chest pain breathing problem 127",2
"bukhr high fever 90",1
"normal cold cough",0
"dizziness and weakness",1
"light brething problem",1
"spo2 low breathing issue 23",2
"norml cold cough 67",0
"no mjor issue 71",0
"dizziness and weakness",1
"oxygen low patient unconscious",2
"chaati me dard saans nahi aa rahi 124",2
"severe chest tightness cannot breathe 1",2
"normal cold cough",0
"light breathing problem 92",1
"slight fever stble",0
"norml cold cough",0
"general weakness",0
"severe chest tightness cnnot brethe 42",2
"mild hedche 51",0
"bukhr high fever",1
"behosh ho gy pulse high",2
"chaati me dard saans nahi aa rahi 65",2
"no mjor issue",0
"behosh ho gy pulse high",2
"dizziness nd wekness 96",1
"oxygen low ptient unconscious",2
"oxygen low ptient unconscious",2
"no mjor issue",0
"chaati me dard saans nahi aa rahi 67",2
"bukhaar high fever 94",1
"slight fever stble 99",0
"behosh ho gy pulse high 58",2
"chti me drd sns nhi  rhi 31",2
"general weakness",0
"light brething problem 95",1
"chest pin brething problem 97",2
"slight fever stble",0
"dizziness nd wekness 148",1
"mild chest pin",1
"chest pain breathing problem",2
"bukhaar high fever",1
"behosh ho gaya pulse high",2
"chest pin brething problem 65",2
"severe chest tightness cannot breathe 68",2
"fever 102 body pain 15",1
"dizziness nd wekness",1
"slight fever stable",0
"slight fever stble",0
"chest pin brething problem",2
"slight fever stble",0
"bukhr high fever 61",1
"chest pain breathing problem 74",2
"behosh ho gy pulse high 63",2
"norml cold cough",0
"mild headache 79",0
"oxygen low patient unconscious 50",2
"mild chest pain 12",1
"oxygen low ptient unconscious 143",2
"general weakness",0
"behosh ho gy pulse high",2
"mild headache",0
"mild chest pin",1
"chest pain breathing problem 140",2
"norml cold cough",0
"slight fever stable 110",0
"fever 102 body pain",1
"mild hedche",0
"fever 102 body pain 15",1
"light breathing problem 88",1
"slight fever stable",0
"no mjor issue 17",0
"generl wekness",0
"oxygen low ptient unconscious 60",2
"mild chest pin 8",1
"chest pain breathing problem",2
"slight fever stable",0
"mild chest pain 37",1
"mild hedche",0
"light brething problem",1
"behosh ho gy pulse high",2
"behosh ho gy pulse high 23",2
"generl wekness 98",0
"behosh ho gaya pulse high",2
"mild chest pain 134",1
"spo2 low brething issue 2",2
"fever 102 body pin",1
"dizziness nd wekness 118",1
"mild chest pain",1
"dizziness and weakness",1
"oxygen low patient unconscious",2
"bukhr high fever",1
"behosh ho gy pulse high 5",2
"chti me drd sns nhi  rhi",2
"fever 102 body pain 29",1
"norml cold cough",0
"slight fever stble 107",0
"chti me drd sns nhi  rhi 33",2
"generl wekness",0
"slight fever stble",0
"mild chest pin 97",1
"generl wekness 146",0
"mild chest pain 23",1
"spo2 low breathing issue 7",2
"spo2 low brething issue",2
"general weakness",0
"mild hedche 57",0
"chti me drd sns nhi  rhi",2
"spo2 low brething issue",2
"spo2 low brething issue",2
"chest pin brething problem 69",2
"normal cold cough 110",0
"behosh ho gaya pulse high",2
"bukhr high fever",1
"general weakness 88",0
"chaati me dard saans nahi aa rahi 128",2
"light breathing problem 125",1
"light breathing problem",1
"norml cold cough",0
"fever 102 body pain",1
"chest pain breathing problem 126",2
"no major issue 58",0
"spo2 low brething issue",2
"behosh ho gaya pulse high 13",2
"severe chest tightness cannot breathe",2
"chest pin brething problem 88",2
"bukhaar high fever",1
"behosh ho gy pulse high 68",2
"oxygen low ptient unconscious 8",2
"mild hedche",0
"mild headache",0
"mild chest pain",1
"bukhaar high fever 26",1
"slight fever stable",0
"chaati me dard saans nahi aa rahi",2
"fever 102 body pain 54",1
"dizziness nd wekness 128",1
"generl wekness 67",0
"light brething problem 105",1
"normal cold cough",0
"spo2 low breathing issue 94",2
"fever 102 body pain 106",1
"mild hedche",0
"bukhaar high fever 57",1
"spo2 low breathing issue",2
"general weakness",0
"mild chest pain 108",1
"severe chest tightness cnnot brethe 59",2
"behosh ho gaya pulse high 28",2
"fever 102 body pain 104",1
"dizziness nd wekness",1
"chaati me dard saans nahi aa rahi 84",2
"norml cold cough 149",0
"light brething problem 129",1
"bukhaar high fever 55",1
"behosh ho gy pulse high 28",2
"general weakness 57",0
"normal cold cough",0
"chaati me dard saans nahi aa rahi",2
"oxygen low patient unconscious",2
"no mjor issue 64",0
"no mjor issue",0
"behosh ho gaya pulse high",2
"bukhaar high fever 21",1
"general weakness",0
"bukhaar high fever",1
"no mjor issue 92",0
"slight fever stble",0
"fever 102 body pain 39",1
"bukhr high fever",1
"slight fever stable",0
"chaati me dard saans nahi aa rahi 82",2
"slight fever stble 106",0
"severe chest tightness cannot breathe",2
"dizziness nd wekness",1
"behosh ho gy pulse high 26",2
"severe chest tightness cnnot brethe 143",2
"mild chest pin 120",1
"mild chest pin",1
"bukhr high fever 19",1
"general weakness",0
"mild headache",0
"no major issue 45",0
"fever 102 body pin",1
"severe chest tightness cnnot brethe",2
"behosh ho gaya pulse high",2
"bukhaar high fever",1
"chaati me dard saans nahi aa rahi",2
"slight fever stble",0
"normal cold cough",0
"light breathing problem 63",1
"fever 102 body pin",1
"oxygen low patient unconscious 46",2
"severe chest tightness cnnot brethe 141",2
"light breathing problem",1
"slight fever stble",0
"spo2 low brething issue",2
"mild chest pin 37",1
"general weakness",0
"no major issue 101",0
"dizziness nd wekness",1
"mild chest pain",1
"no major issue 14",0
"light brething problem 79",1
"mild hedche",0
"slight fever stable 60",0
"severe chest tightness cannot breathe 100",2
"fever 102 body pin",1
"no major issue 145",0
"fever 102 body pin 99",1
"severe chest tightness cannot breathe 111",2
"oxygen low patient unconscious",2
"bukhaar high fever",1
"fever 102 body pain",1
"no mjor issue",0
"behosh ho gy pulse high 133",2
"mild headache 30",0
"light breathing problem",1
"dizziness nd wekness 135",1
"dizziness nd wekness",1
"bukhaar high fever",1
"mild hedche",0
"behosh ho gy pulse high 115",2
"dizziness and weakness",1
"chest pin brething problem 4",2
"light brething problem",1
"dizziness nd wekness",1
"mild chest pin 40",1
"dizziness nd wekness 137",1
"behosh ho gy pulse high",2
"normal cold cough 109",0
"severe chest tightness cnnot brethe",2
"normal cold cough 112",0
"slight fever stble",0
"spo2 low breathing issue 47",2
"fever 102 body pain 144",1
"spo2 low breathing issue 121",2
"severe chest tightness cnnot brethe 108",2
"fever 102 body pain 33",1
"mild hedche 35",0
"slight fever stble 14",0
"dizziness nd wekness 54",1
"severe chest tightness cannot breathe",2
"dizziness nd wekness",1
"mild hedche 99",0
"norml cold cough 137",0
"no mjor issue",0
"oxygen low ptient unconscious 5",2
"chest pain breathing problem",2
"mild hedche",0
"generl wekness 106",0
"normal cold cough",0
"mild headache",0
"normal cold cough 85",0
"light breathing problem",1
"behosh ho gaya pulse high 124",2
"mild chest pain",1
"norml cold cough 100",0
"behosh ho gaya pulse high",2
"no major issue",0
"dizziness and weakness",1
"no major issue",0
"dizziness and weakness",1
"mild chest pin 10",1
"severe chest tightness cnnot brethe",2
"no major issue",0
"spo2 low brething issue",2
"chti me drd sns nhi  rhi",2
"dizziness nd wekness",1
"mild headache",0
"generl wekness 82",0
"spo2 low breathing issue 16",2
"dizziness and weakness",1
"dizziness and weakness 100",1
"chest pin brething problem 21",2
"norml cold cough 37",0
"light breathing problem 113",1
"light breathing problem",1
"dizziness and weakness 111",1
"chaati me dard saans nahi aa rahi 68",2
"slight fever stble 143",0
"chaati me dard saans nahi aa rahi 69",2
"light breathing problem",1
"normal cold cough 23",0
"fever 102 body pain",1
"mild chest pain",1
"oxygen low ptient unconscious",2
"general weakness",0
"chti me drd sns nhi  rhi 86",2
"oxygen low ptient unconscious",2
"fever 102 body pain",1
"no mjor issue",0
"chest pain breathing problem 87",2
"norml cold cough",0
"no mjor issue 82",0
"mild headache 29",0
"fever 102 body pain 41",1
"general weakness",0
"norml cold cough",0
"fever 102 body pain 46",1
"no mjor issue",0
"generl wekness",0
"mild headache",0
"oxygen low ptient unconscious",2
"chest pain breathing problem",2
"dizziness nd wekness 54",1
"dizziness nd wekness 138",1
"normal cold cough 81",0
"dizziness and weakness",1
"severe chest tightness cannot breathe",2
"slight fever stable 44",0
"mild hedche 60",0
"fever 102 body pain",1
"slight fever stable 24",0
"chaati me dard saans nahi aa rahi",2
"normal cold cough",0
"mild headache",0
"chest pin brething problem",2
"norml cold cough 63",0
"mild hedche",0
"no mjor issue",0
"chest pin brething problem",2
"light brething problem 47",1
"slight fever stable",0
"light breathing problem 77",1
"slight fever stble 145",0
"chest pain breathing problem",2
"mild hedche",0
"mild chest pain 106",1
"no mjor issue 13",0
"slight fever stble",0
"behosh ho gy pulse high 122",2
"oxygen low patient unconscious",2
"slight fever stable",0
"dizziness and weakness 136",1
"dizziness and weakness",1
"mild headache",0
"spo2 low breathing issue",2
"no major issue",0
"dizziness and weakness",1
"severe chest tightness cannot breathe 63",2
"dizziness and weakness 34",1
"dizziness and weakness",1
"generl wekness 144",0
"oxygen low ptient unconscious 110",2
"chaati me dard saans nahi aa rahi",2
"behosh ho gaya pulse high 51",2
"light brething problem",1
"chti me drd sns nhi  rhi 29",2
"generl wekness 85",0
"no mjor issue 46",0
"general weakness 111",0
"fever 102 body pain",1
"mild chest pain 139",1
"mild headache 83",0
"no mjor issue 80",0
"oxygen low ptient unconscious",2
"fever 102 body pain 30",1
"fever 102 body pain 33",1
"fever 102 body pain 102",1
"general weakness 1",0
"severe chest tightness cnnot brethe 77",2
"behosh ho gaya pulse high 104",2
"spo2 low brething issue",2
"chti me drd sns nhi  rhi 128",2
"generl wekness 130",0
"mild headache 124",0
"mild chest pin",1
"mild chest pain 95",1
"general weakness 88",0
"bukhr high fever 77",1
"chest pin brething problem",2
"behosh ho gy pulse high",2
"fever 102 body pin 122",1
"behosh ho gy pulse high 135",2
"no mjor issue",0
"chaati me dard saans nahi aa rahi",2
"chest pin brething problem",2
"light breathing problem 132",1
"mild headache",0
"behosh ho gaya pulse high 121",2
"normal cold cough 134",0
"mild headache",0
"behosh ho gaya pulse high 61",2
"severe chest tightness cannot breathe 128",2
"spo2 low breathing issue 10",2
"spo2 low brething issue",2
"chti me drd sns nhi  rhi 108",2
"oxygen low patient unconscious 149",2
"bukhaar high fever 37",1
"chest pin brething problem 110",2
"light breathing problem",1
